player_id,player_position,team,goals_last_5,assists_last_5,minutes_last_5,shots_on_target,pass_accuracy,fitness_score,opponent_strength,home_away,weather,next_match_goals,performance_level
1,Defender,Team_C,3,3,410.67955914700417,2,58.04288753312984,73.67290524341284,1,Home,Cloudy,0.8552581233233039,Medium
2,Goalkeeper,Team_G,4,3,326.7976656375522,20,83.2492906891582,69.45306021316385,3,Away,Rainy,2.6540403410672253,High
3,Forward,Team_G,3,2,315.74430686762713,4,67.87558544220457,94.7079606812075,4,Away,Snowy,0.5614946600623916,Low
4,Defender,Team_G,5,0,320.45846515618797,6,78.60575605044532,52.595023743498075,5,Home,Rainy,0.4411200541506116,Low
5,Defender,Team_D,2,0,472.7229673049111,8,,57.80528327225943,2,Away,Cloudy,1.8262108252036129,High
6,Goalkeeper,Team_G,0,2,322.3884501888731,8,75.93762538595404,55.65318940944801,2,Away,Snowy,1.3585308088155639,Medium
7,Forward,Team_E,6,2,270.1953980471839,4,56.5324078260674,84.25108799258902,2,Away,Cloudy,1.3102530049217402,Medium
8,Forward,Team_C,5,2,280.6789459030857,5,60.69950304155907,66.53337671076022,1,Away,Rainy,1.7937349467458035,Medium
9,Defender,Team_G,3,3,366.84536014328626,6,81.81929549945758,81.03871598900025,4,Home,Sunny,0.8904446027258797,Medium
10,Midfielder,Team_A,6,1,234.2911324011934,3,76.54925316539725,74.62297322600965,4,Away,Cloudy,0.34420894216215997,Low
11,Defender,Team_D,3,1,347.03497888785375,4,66.55207452911729,86.89326611025044,2,Away,Rainy,1.44507333094575,Medium
12,Defender,Team_E,1,2,276.57094834103344,6,72.47669075958788,85.85505541916687,5,Away,Cloudy,0.4644564332235825,Low
13,Defender,Team_A,0,1,208.47382661287952,5,82.90782069609769,77.09727708313224,5,Home,Rainy,0.7470339052249423,Low
14,Defender,Team_A,2,2,261.1956669851843,5,75.22254963110753,85.8637861119815,5,Away,Snowy,0.25477903152547476,Low
15,Goalkeeper,Team_A,2,4,321.65202858071956,6,,61.56540387194802,2,Away,Rainy,1.0967824779845803,Medium
16,Forward,Team_A,4,4,403.71004360956897,6,69.24208294523201,48.51562386474173,5,Away,Sunny,0.30597885303803424,Low
17,Goalkeeper,Team_C,5,1,374.7997647167983,4,83.48613579387545,79.98406224453873,3,Home,Snowy,0.7758071711173673,Low
